hour_of_day,dc_success,ac_success,p_pv_available_mw,p_wind_available_mw,dc_fuel_usd_per_h,ac_fuel_usd_per_h,dc_co2_tons_per_h,ac_co2_tons_per_h,dc_pg_sum_mw,ac_pg_sum_mw,ac_losses_mw,fuel_delta_ac_minus_dc_usd,fuel_delta_pct,co2_delta_ac_minus_dc_tons
0,True,True,18.53521255443797,48.42472956100094,123321.1415219308,128879.43881861695,3327.7932326460077,3437.2002782751715,4241.999999999998,4375.423226377027,133.42322637702728,5558.297296686156,4.5071730832930195,109.4070456291638
1,True,True,58.40512725171023,51.13905437469408,121661.28676971729,127159.9847997299,3293.8506735131664,3402.6312705797377,4241.999999999998,4374.659264715328,132.6592647153284,5498.6980300126015,4.5196776854913905,108.78059706657132
2,True,True,93.0449357875914,59.96858656367492,119975.47787663015,125425.10077789542,3259.2026280150776,3367.5578224866313,4242.0,4374.14048106287,132.1404810628701,5449.622901265277,4.542280637439162,108.35519447155366
3,True,True,119.68431234102536,57.423100171254795,119044.79798781253,124473.44041271317,3239.9981453010796,3348.232573687478,4242.0,4373.993205349267,131.99320534926665,5428.642424900638,4.560167698765306,108.23442838639858
4,True,True,142.89516083360922,63.12713468625519,117931.39805893021,123337.48177606516,3216.9510006851156,3325.0890036864407,4241.999999999998,4373.875613416249,131.8756134162486,5406.083717134956,4.584091943380118,108.13800300132516
5,True,True,145.95272946840342,65.66086565547053,117716.53956149812,123118.14721759979,3212.494351473301,3320.611494580619,4242.000000000002,4373.8501745211215,131.85017452112152,5401.607656101667,4.588656510141236,108.11714310731804
6,True,True,150.0,47.42931476106184,118261.88147389382,123681.19821233247,3223.800195619763,3332.0897345092058,4242.000000000002,4374.06041327981,132.06041327980984,5419.316738438647,4.582471267070916,108.28953888944261
7,True,True,138.21654922099424,26.19941459867382,119534.70271987944,124988.67925441674,3250.1141002342997,3358.679908130996,4242.000000000004,4374.397326703291,132.39732670329067,5453.976534537302,4.5626721031115824,108.56580789669624
8,True,True,118.18107157896203,17.146780536788228,120660.31405992585,126142.30159299349,3273.2993200001556,3382.0596925245504,4242.0,4374.634600639505,132.63460063950515,5481.987533067644,4.543322778312196,108.76037252439482
9,True,True,91.80853899369644,18.461759767385104,121633.05591183575,127137.46673423095,3293.271908362927,3402.1671259567947,4242.0,4374.799045846181,132.7990458461809,5504.410822395206,4.525423439484257,108.89521759386753
10,True,True,58.28059254659976,18.73844185878548,122928.30932798555,128470.84283328558,3319.775446282228,3429.0037734210255,4241.999999999999,4375.205276998533,133.205276998533,5542.533505300031,4.508752732059442,109.22832713879734
11,True,True,19.707988333314283,21.576592933201063,124325.92323672355,129919.1464072763,3348.2582559465163,3458.0215180418168,4242.0000000000055,4375.85763670159,133.8576367015903,5593.223170552752,4.4988390393071445,109.76326209530043
12,True,True,0.0849181031835912,15.298672107721304,125342.58654497146,130977.83048909092,3368.9031219927924,3479.1487313524135,4241.999999999999,4376.445865072707,134.44586507270742,5635.243944119458,4.4958733495559375,110.24560935962108
13,True,True,0.0,11.42125902570679,125498.38591951075,131139.92462481794,3372.061371528264,3482.3780633762635,4241.999999999998,4376.5325510341445,134.5325510341445,5641.53870530719,4.4953077794366445,110.31669184799966
14,True,True,0.0,15.334649566552066,125344.5104602398,130979.84500307255,3368.9421309230174,3479.18885531939,4241.999999999998,4376.447224873624,134.44722487362378,5635.334542832745,4.495876622072184,110.24672439637243
15,True,True,0.0,18.977228772025175,125201.34624364554,130831.03713055149,3366.038745524071,3476.222706259745,4242.0,4376.370683823992,134.3706838239923,5629.690886905941,4.496509866555583,110.18396073567374
16,True,True,0.0,13.516132439512946,125416.0062891787,131054.2056741314,3370.3916137698393,3480.6705243259353,4242.0,4376.4864762879215,134.4864762879215,5638.199384952706,4.495597931855999,110.27891055609598
17,True,True,0.0,16.995203753588413,125279.23821397116,130911.98429761887,3367.6185553714126,3477.8363851892595,4242.0,4376.41198758274,134.41198758274004,5632.746083647711,4.496152885306694,110.2178298178469
18,True,True,0.0,22.1773981720082,125075.6200756714,130700.45689114612,3363.487991076194,3473.618688572638,4241.999999999999,4376.3057286542,134.3057286541998,5624.8368154747295,4.497148854486329,110.1306974964441
19,True,True,0.0,15.442821068233933,125340.25812450444,130975.42325046455,3368.855910818827,3479.1007385620005,4241.999999999999,4376.4449118819175,134.4449118819175,5635.165125960106,4.495893985125289,110.24482774317357
20,True,True,0.0,37.26419593300554,124483.53007000167,130086.7891487355,3351.462778739593,3461.365982493728,4241.999999999998,4376.028297261139,134.02829726113941,5603.259078733827,4.501205159897785,109.90320375413512
21,True,True,0.0,79.61711881476272,122826.92289091127,128380.9866993088,3317.7045948313958,3427.1762644195196,4242.000000000002,4375.50203608308,133.50203608308038,5554.0638083975355,4.521861883107157,109.47166958812386
22,True,True,0.0,86.93917431688682,122541.3563375754,128088.59511449981,3311.868414479215,3421.29627625865,4242.000000000004,4375.448611926144,133.4486119261437,5547.238776924409,4.52682991499045,109.4278617794348
23,True,True,0.5216335081351439,86.93917434545304,122521.021521388,128067.37975601973,3311.452636792326,3420.870051328975,4242.000000000002,4375.43587138616,133.43587138616022,5546.358234631727,4.526862546329261,109.41741453664918
