epsilon_co2_budget_tons_day,pi_shadow_price_usd_per_tco2,day_fuel_usd,day_co2_tons,day_monetized_carbon_usd_pi_nom,day_social_cost_usd,day_pv_curtailment_mwh,day_wind_curtailment_mwh,hours_solved,emission_constraint_satisfied
52661.11,156.1083,4181391.4580043666,52661.105959735214,4476194.006577494,8657585.46458186,2.6967039712388896e-10,4.25588453367709e-10,24,True
55554.61,75.4467,3886532.6281235297,55554.6075253673,4722141.639656221,8608674.26777975,6.662652513034217e-10,8.997051992309935e-10,24,True
58448.11,66.7532,3680804.731718767,58448.109273158305,4968089.288218456,8648894.019937223,5.998724017519663e-10,7.903189214175654e-10,24,True
61341.61,58.0597,3500231.4953160654,61341.61102512897,5214036.937135963,8714268.432452029,5.775667721863442e-10,7.61424701067881e-10,24,True
64235.11,49.3662,3344812.9192269994,64235.11277717562,5459984.586059928,8804797.505286928,5.487928306235901e-10,6.969624877228853e-10,24,True
67128.61,40.6727,3214549.003455573,67128.61452924903,5705932.234986167,8920481.238441741,5.053579638092387e-10,8.696954267861656e-10,24,True
70022.12,31.9792,3109439.7598995157,70022.11590932625,5951879.852292731,9061319.612192247,4.2871078909101357e-10,1.8538450774485682e-09,24,True
72915.62,23.2857,3029485.1615334493,72915.61766135789,6197827.501215421,9227312.66274887,4.181700818950418e-10,1.825382511810858e-09,24,True
75809.12,14.5922,2974685.223487259,75809.11941329352,6443775.150129949,9418460.373617208,6.474534658407194e-10,2.045476676926228e-09,24,True
78702.62,5.8512,2945043.289966224,78702.62117906238,6689722.800220302,9634766.090186527,1.5224341509689765e-09,2.8017872466534754e-09,24,True
