omega_fuel_weight,omega_emission_weight,pi_effective_usd_per_tco2,day_fuel_usd,day_co2_tons,day_monetized_carbon_usd_pi_nom,day_social_cost_usd,day_pv_curtailment_mwh,day_wind_curtailment_mwh,hours_solved,pareto_non_dominated
0.0,1.0,0.0,2941865.6111983326,79497.59712392658,6757295.7555337595,9699161.366732093,5.658480212167305e-10,2.7652582446080487e-09,24,True
0.1111,0.8889,10.62,2958036.44922065,77129.54852411505,6556011.624549779,9514048.07377043,7.535106427702942e-10,2.1551809226139085e-09,24,True
0.2222,0.7778,24.29,3037401.8455641316,72582.78413024185,6169536.651070558,9206938.496634688,3.904466611137636e-10,1.7993269096905351e-09,24,True
0.3333,0.6667,42.5,3239841.1174006574,66520.43160467932,5654236.6863977425,8894077.8037984,5.164042388150492e-10,8.802043538480575e-10,24,True
0.4444,0.5556,68.0,3708764.085245133,58033.13806897147,4932816.7358625755,8641580.821107708,6.029325788636797e-10,7.945715196910896e-10,24,True
0.5556,0.4444,106.25,4045430.9673775258,53730.33376404586,4567078.369943898,8612509.337321423,2.4768385953333194e-10,3.341771304121721e-10,24,True
0.6667,0.3333,170.0,4200116.309427559,52545.779182891914,4466391.230545812,8666507.53997337,2.587189351643815e-10,5.206253206324618e-10,24,True
0.7778,0.2222,297.5,4248234.108810677,52333.42713810708,4448341.306739102,8696575.41554978,1.7773428562239957e-10,3.072617715815795e-10,24,True
0.8889,0.1111,600.0,4367478.820460443,52058.778237704304,4424996.150204866,8792474.97066531,6.315738210194155e-11,8.925304939566558e-11,24,True
1.0,0.0,600.0,4367478.820460443,52058.778237704304,4424996.150204866,8792474.97066531,6.315738210194155e-11,8.925304939566558e-11,24,True
