episode,ep_reward_z1,ep_reward_z2,ep_reward_z3,ep_total_reward,ep_fuel_usd,ep_co2_tons,ep_imbalance_sum_mw,eps_z1
0,-1400353.8583977346,-1326023.2418459272,-1585718.9905780063,-4312096.090821668,3667111.208741928,67490.25157935846,803.8943142892508,0.8866535105013078
1,-1498893.8431531559,-1188244.1144871197,-1565848.3133033633,-4252986.270943639,3587387.112853703,68122.55382058282,156.33898403949433,0.7861544476842928
2,-1468612.818407971,-1240400.6193903524,-1582336.712187789,-4291350.1499861125,3660976.249199452,67192.68163386978,508.4464627605553,0.697046600835495
3,-1330252.9449943241,-1308386.0768672272,-1632299.0983558027,-4270938.120217354,3630746.2572638327,66532.46026326178,1094.6001139832147,0.6180388156137953
4,-1450792.3496307998,-1265337.8797512264,-1625826.7965183007,-4341957.025900327,3747711.357382681,66392.803784797,851.4193073375591,0.547986285490042
5,-1744687.5857855913,-939613.2225933514,-1675697.4332881626,-4359998.241667105,3755373.8317178097,65806.59648417018,1772.2783039433139,0.4858739637363176
6,-1823495.9271867431,-672917.0734604372,-1839835.9973321836,-4336248.997979363,3733384.522668678,64300.46307571735,2773.93412268326,0.43080185560799106
7,-1842555.9068508877,-639735.4369515263,-1894634.2115696648,-4376925.555372079,3797848.8965427536,64915.39817918673,2102.9558074296788,0.3819719776053028
8,-1755607.9814951615,-643290.4478457185,-1914313.2721397632,-4313211.701480643,3673509.455439832,62777.986836535165,4697.213944703839,0.3386767948568688
9,-1812459.8306684503,-498131.1977748527,-2120692.2997043715,-4431283.328147674,3852729.5323316674,63433.98892042765,3893.5312681534197,0.30028896908517405
10,-1738331.048436982,-737218.1426631336,-1843476.5494783567,-4319025.740578473,3655867.977622121,63254.72024116985,4897.426336438549,0.2662522686041882
11,-2203452.4141314276,-491974.223141818,-1624354.422809708,-4319781.060082953,3682649.2403129777,57885.789221072504,8861.298890884016,0.23607350863684065
12,-1519819.0380472683,-893491.6240061405,-2002320.5004223234,-4415631.162475732,3842058.7086485606,59121.133930167,7286.705040082717,0.20931540516921554
13,-1524486.1430553382,-939655.038389689,-1819344.9005263066,-4283486.081971334,3656771.161901531,65541.73167598795,1747.737030085662,0.18559023879528855
14,-1484364.6932902543,-949696.0978490721,-1884161.3610464786,-4318222.152185805,3751226.9453903176,64192.35638688947,1848.6067515633672,0.16455423674261854
15,-1339250.9666002397,-1352309.3213746457,-1633252.926001068,-4324813.213975954,3748116.331620068,64704.208224622584,1705.8157371343473,0.14590259167570602
16,-1221232.3204902546,-1577280.7836140313,-1444769.4420480293,-4243282.546152315,3628229.4667144483,64198.497370222554,2215.3412170508755,0.12936504510050365
17,-1326422.4927260648,-1628902.1607117334,-1311626.3999742882,-4266951.053412086,3656089.0160062383,62868.43287626454,3484.790128765773,0.11470197137452155
18,-1368486.1996080684,-1522347.6221394923,-1381176.449361412,-4272010.271108973,3659810.123295838,62221.15426361351,4116.791702658098,0.10170090558064004
19,-1250321.872911026,-1441145.9783092348,-1569972.6021273509,-4261440.453347612,3623022.594923466,65417.188671302974,1906.2108594319961,0.09017346495423652
20,-1433217.8375751579,-1410554.5142680414,-1502362.2789594557,-4346134.630802655,3732540.8945105323,64960.13453561363,2562.419132904495,0.07995261925574046
21,-1885576.936666307,-1038019.8333462332,-1433045.439452979,-4356642.2094655195,3775490.1285646446,60518.94865090009,5685.530962410545,0.0708902705368767
22,-1970086.1831311248,-452563.91031911754,-1925213.9108659432,-4347864.004316186,3693894.765783955,63218.0058352031,5002.617315657945,0.06285510723190912
23,-2006683.4222847456,-420832.7582870679,-1927215.2053045717,-4354731.3858763855,3741266.925258165,60913.06707417725,6085.377593471659,0.05573070148010834
24,-1986184.9761724432,-456128.4264638691,-1918848.3798242859,-4361161.782460598,3720712.0357699925,60107.957210818524,7463.681618191045,0.049911691230058335
25,-1954141.9143243441,-440447.3376171198,-2029483.7237726978,-4424072.975714162,3837551.3126715864,57456.72018951922,9088.02306704376,0.049911691230058335
