hour_of_day,opf_mode,carbon_price_for_opf_usd_per_tco2,p_pv_available_mw,p_wind_available_mw,success,thermal_fuel_cost_usd_per_h,thermal_tons_co2_per_h,monetized_carbon_usd_per_h,thermal_social_cost_usd_per_h,sum_Pg_thermal_mw,P_pv_dispatch_mw,P_wind_dispatch_mw,pv_curtailment_mw,wind_curtailment_mw
0,fuel_only,,18.53521255443797,48.42472956100094,True,123321.1415219308,3327.7932326460077,282862.4247749107,406183.5662968415,4175.040057884646,18.535212554394043,48.42472956095701,4.3925751924689393e-11,4.3925751924689393e-11
1,fuel_only,,58.40512725171023,51.13905437469408,True,121661.28676971729,3293.8506735131664,279977.30724861915,401638.59401833644,4132.455818373674,58.40512725166946,51.13905437465331,4.077094217791455e-11,4.077094217791455e-11
2,fuel_only,,93.0449357875914,59.96858656367492,True,119975.47787663015,3259.2026280150776,277032.2233812816,397007.70125791174,4088.9864776488093,93.04493578755306,59.968586563636585,3.8340886021615006e-11,3.8333780594257405e-11
3,fuel_only,,119.68431234102536,57.423100171254795,True,119044.79798781253,3239.9981453010796,275399.8423505918,394444.64033840434,4064.8925874877946,119.68431234098824,57.423100171217676,3.7118752516107634e-11,3.7118752516107634e-11
4,fuel_only,,142.89516083360922,63.12713468625519,True,117931.39805893021,3216.9510006851156,273440.8350582348,391372.23311716504,4035.977704480205,142.8951608335734,63.12713468621938,3.581135388230905e-11,3.581135388230905e-11
5,fuel_only,,145.95272946840342,65.66086565547053,True,117716.53956149812,3212.494351473301,273062.01987523056,390778.5594367287,4030.386404876199,145.9527294683678,65.66086565543495,3.561240191629622e-11,3.558398020686582e-11
6,fuel_only,,150.0,47.42931476106184,True,118261.88147389382,3223.800195619763,274023.01662767987,392284.8981015737,4044.570685239013,149.9999999999639,47.42931476102573,3.609557097661309e-11,3.610978183132829e-11
7,fuel_only,,138.21654922099424,26.19941459867382,True,119534.70271987944,3250.1141002342997,276259.69851991546,395794.4012397949,4077.5840361804094,138.21654922095672,26.199414598636288,3.751665644813329e-11,3.753086730284849e-11
8,fuel_only,,118.18107157896203,17.146780536788228,True,120660.31405992585,3273.2993200001556,278230.4422000132,398890.75625993905,4106.672147884327,118.18107157892305,17.14678053674925,3.8980374483799096e-11,3.8976821770120296e-11
9,fuel_only,,91.80853899369644,18.461759767385104,True,121633.05591183575,3293.271908362927,279928.11221084883,401561.1681226846,4131.729701239,91.80853899365597,18.461759767344635,4.0472514228895307e-11,4.0468961515216506e-11
10,fuel_only,,58.28059254659976,18.73844185878548,True,122928.30932798555,3319.775446282228,282180.91293398937,405109.22226197494,4164.980965594701,58.28059254655694,18.738441858742657,4.282441068426124e-11,4.282441068426124e-11
11,fuel_only,,19.707988333314283,21.576592933201063,True,124325.92323672355,3348.2582559465163,284601.9517554539,408927.8749921775,4200.715418733585,19.707988333268037,21.576592933154817,4.624567395694612e-11,4.624567395694612e-11
12,fuel_only,,0.0849181031835912,15.298672107721304,True,125342.58654497146,3368.9031219927924,286356.76536938734,411699.3519143588,4226.616409789196,0.08491810313396447,15.298672107671676,4.9626733278351765e-11,4.96278573791642e-11
13,fuel_only,,0.0,11.42125902570679,True,125498.38591951075,3372.061371528264,286625.21657990245,412123.6024994132,4230.578740974609,0.0,11.421259025386554,0.0,3.2023628193655895e-10
14,fuel_only,,0.0,15.334649566552066,True,125344.5104602398,3368.9421309230174,286360.08112845646,411704.59158869623,4226.665350433737,0.0,15.33464956626245,0.0,2.8961721909581684e-10
15,fuel_only,,0.0,18.977228772025175,True,125201.34624364554,3366.038745524071,286113.29336954607,411314.6396131916,4223.02277122823,0.0,18.977228771770566,0.0,2.546087785049167e-10
16,fuel_only,,0.0,13.516132439512946,True,125416.0062891787,3370.3916137698393,286483.28717043635,411899.29345961503,4228.483867560794,0.0,13.516132439207762,0.0,3.0518343407948123e-10
17,fuel_only,,0.0,16.995203753588413,True,125279.23821397116,3367.6185553714126,286247.5772065701,411526.8154205412,4225.004796246685,0.0,16.995203753314307,0.0,2.7410607117417385e-10
18,fuel_only,,0.0,22.1773981720082,True,125075.6200756714,3363.487991076194,285896.47924147645,410972.09931714786,4219.822601828215,0.0,22.177398171785978,0.0,2.2222224060897133e-10
19,fuel_only,,0.0,15.442821068233933,True,125340.25812450444,3368.855910818827,286352.75241960026,411693.01054410473,4226.557178932054,0.0,15.442821067945292,0.0,2.886402228341467e-10
20,fuel_only,,0.0,37.26419593300554,True,124483.53007000167,3351.462778739593,284874.3361928654,409357.86626286706,4204.7358040670815,0.0,37.26419593291736,0.0,8.817835350782843e-11
21,fuel_only,,0.0,79.61711881476272,True,122826.92289091127,3317.7045948313958,282004.89056066866,404831.81345157995,4162.382881185312,0.0,79.61711881468793,0.0,7.479172836610815e-11
22,fuel_only,,0.0,86.93917431688682,True,122541.3563375754,3311.868414479215,281508.8152307333,404050.1715683087,4155.060825683197,0.0,86.93917431680498,0.0,8.184031230484834e-11
23,fuel_only,,0.5216335081351439,86.93917434545304,True,122521.021521388,3311.452636792326,281473.4741273477,403994.49564873567,4154.539192146498,0.5216335080926379,86.93917434541054,4.2505998720798743e-11,4.250466645316919e-11
